Cliente,Estado,Género,Valor de vida del cliente,Ingreso,Prima mensual del auto,Tipo de póliza,Clase del vehículo,Monto total de reclamo
YH23384,Arizona,,241275040.0,14072.0,71.0,Personal Auto,Four-Door Car,511.2
TZ98966,Nevada,,24501910.0,0.0,73.0,Corporate Auto,Four-Door Car,554.376763
HM55802,California,,23921079.0,17870.0,61.0,Corporate Auto,Four-Door Car,439.2
FS42516,Oregon,,58020660.0,97541.0,72.0,Personal Auto,Four-Door Car,389.185006
US89481,California,,39463721.0,0.0,111.0,Personal Auto,Four-Door Car,799.2
HS14476,Washington,M,91620632.0,29723.0,80.0,Personal Auto,Four-Door Car,20.985105
GE62437,AZ,,129025601.0,86584.0,111.0,Personal Auto,Four-Door Car,532.8
EJ77678,Oregon,,32353605.0,75690.0,80.0,Personal Auto,Four-Door Car,384.0
SV85652,Arizona,,24545835.0,23158.0,63.0,Personal Auto,Four-Door Car,322.294043
UL64533,Nevada,,189754561.0,65999.0,237.0,Corporate Auto,Luxury SUV,615.927769
PF41800,California,,47153213.0,0.0,65.0,Personal Auto,Four-Door Car,308.15089
HD95276,Washington,F,47378717.0,0.0,130.0,Personal Auto,SUV,23.820158
SK67821,Oregon,,49329163.0,37260.0,62.0,Corporate Auto,Four-Door Car,15.437681
YV55495,Arizona,,57442297.0,68987.0,71.0,Personal Auto,Four-Door Car,204.475147
KY38074,California,,138917357.0,42305.0,117.0,Personal Auto,Four-Door Car,561.6
DM79012,Oregon,,73809767.0,65706.0,91.0,Personal Auto,Four-Door Car,436.8
CM61827,Oregon,,30900340.999999996,0.0,90.0,Personal Auto,Two-Door Car,648.0
WC35801,Arizona,,25216331.0,53243.0,66.0,Personal Auto,Four-Door Car,157.397849
QG25316,Nevada,,26520618.0,0.0,70.0,Corporate Auto,Two-Door Car,484.318536
MB98372,Oregon,,27710450.0,50071.0,71.0,Corporate Auto,Two-Door Car,18.918935
IL19217,California,,39390064.0,60021.0,99.0,Personal Auto,Four-Door Car,882.871945
SR38658,Arizona,,122318797.0,43244.0,103.0,Personal Auto,Sports Car,494.4
YD87931,Washington,M,49516561.0,46896.0,35354.0,Personal Auto,Four-Door Car,31.707317
HG65722,Oregon,,128191029.0,10105.0,172.0,Personal Auto,SUV,0.517753
BU27331,Arizona,,44685105.0,0.0,73.0,Personal Auto,Four-Door Car,579.165954
XM45289,Oregon,,55143440.0,23218.0,71.0,Personal Auto,Two-Door Car,447.79344
KP34198,California,,33438753.000000004,0.0,92.0,Corporate Auto,Four-Door Car,529.624084
SH90947,Arizona,,22944789.0,0.0,62.0,Personal Auto,Four-Door Car,313.023175
WE95729,Oregon,,367074264.0,24804.0,104.0,Personal Auto,SUV,593.830288
PY51963,California,,334733495.0,33190.0,106.0,Corporate Auto,SUV,508.8
RB69909,Nevada,,79834317.0,36014.0,69.0,Special Auto,Four-Door Car,173.956072
NW21079,Washington,F,48793848.0,67163.0,61.0,Personal Auto,Two-Door Car,33.192803
FR46645,California,,42939973.0,16701.0,113.0,Personal Auto,Four-Door Car,831.625979
SY17488,Arizona,,71643955.0,46623.0,91.0,Corporate Auto,Four-Door Car,436.8
AP67935,California,,76195158.0,64749.0,64.0,Special Auto,Four-Door Car,302.56519
FS37417,Arizona,,39580028.0,0.0,101.0,Personal Auto,SUV,484.8
ML29312,Oregon,,44994933.0,16969.0,124.0,Personal Auto,SUV,704.768111
UB61619,Oregon,,40595674.0,11621.0,108.0,Personal Auto,Four-Door Car,518.4
CD86811,Arizona,,44581134.0,17622.0,65.0,Personal Auto,Four-Door Car,312.0
RU83859,California,,81103331.0,11489.0,105.0,Personal Auto,Two-Door Car,504.0
FG63582,Oregon,,33397649.0,0.0,94.0,Personal Auto,Two-Door Car,863.327324
NN71951,California,,242610177.99999997,66525.0,100.0,Personal Auto,SUV,104.331355
WB37082,Arizona,,66139737.0,0.0,63.0,Personal Auto,Four-Door Car,676.391482
SM52139,WA,,29306934.999999996,33663.0,73.0,Personal Auto,Four-Door Car,350.4
FL82372,Oregon,,86721943.0,22547.0,112.0,Corporate Auto,SUV,537.6
DP45816,AZ,,116386693.0,61486.0,97.0,Personal Auto,Two-Door Car,465.258644
GW33762,Oregon,,68461503.0,0.0,95.0,Personal Auto,Two-Door Car,456.0
RZ33670,California,,117277764.99999999,29879.0,102.0,Personal Auto,Four-Door Car,500.254235
PY70169,Oregon,,226438348.0,93011.0,113.0,Personal Auto,SUV,281.451042
MO91628,Oregon,,26144743.0,65186.0,65.0,Personal Auto,Two-Door Car,5.434505
HW87852,Oregon,,24517527.0,26840.0,64.0,Personal Auto,Four-Door Car,307.2
HB20453,Oregon,,67812702.0,0.0,104.0,Personal Auto,Sports Car,982.399613
BN87372,Oregon,,49748015.0,75644.0,65.0,Personal Auto,Two-Door Car,467.803638
YX23800,Oregon,,85916049.0,38984.0,73.0,Personal Auto,Four-Door Car,350.4
DZ87709,Oregon,,55921614.0,71811.0,71.0,Personal Auto,Four-Door Car,29.03416
XW13033,Nevada,,80094728.0,20961.0,67.0,Personal Auto,Four-Door Car,321.6
SP81997,Washington,F,0.0,41275.0,96.0,Personal Auto,Four-Door Car,41.122303
OM82309,California,,581665535.0,61321.0,186.0,Personal Auto,Luxury Car,427.63121
ZU35962,California,,80252294.0,0.0,77.0,Personal Auto,Two-Door Car,25.807685
VH85817,California,,57801822.0,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
DT85712,California,,41185391.0,34378.0,102.0,Personal Auto,SUV,489.6
YJ88573,Nevada,,25230702.0,43072.0,63.0,Personal Auto,Four-Door Car,302.4
SQ19467,Oregon,,65542164.0,25222.0,90.0,Personal Auto,Four-Door Car,475.623251
YB66933,Washington,F,53827519.99999999,77552.0,68.0,Corporate Auto,Four-Door Car,45.215059
ET79815,California,,59267293.99999999,23091.0,96.0,Personal Auto,Four-Door Car,460.8
QC35222,California,,26834707.0,48269.0,69.0,Corporate Auto,Four-Door Car,282.151207
CJ15590,Oregon,,26951824.0,32720.0,67.0,Personal Auto,Four-Door Car,321.6
OI48267,California,,60470252.0,20396.0,76.0,Personal Auto,Four-Door Car,364.8
JY67916,Oregon,,131710128.0,21513.0,119.0,Personal Auto,Two-Door Car,679.827592
OW15518,Washington,F,159500195.0,0.0,87.0,Personal Auto,Two-Door Car,46.041452
CZ33664,Oregon,,25276538.0,80744.0,63.0,Corporate Auto,Four-Door Car,11.879037
WK30175,Oregon,,26720958.0,52822.0,67.0,Corporate Auto,Two-Door Car,350.529033
ON44465,California,,53132940.0,0.0,77.0,Personal Auto,Four-Door Car,863.3947
TV87155,Oregon,,209461925.0,69738.0,74.0,Personal Auto,Four-Door Car,492.127532
KH48895,AZ,,83753539.0,17780.0,109.0,Personal Auto,SUV,132.588288
NZ30757,California,,48016615.0,18107.0,62.0,Personal Auto,Four-Door Car,297.6
RI22468,AZ,,57459432.99999999,57740.0,74.0,Personal Auto,Four-Door Car,269.905129
FZ30935,Oregon,,60661160.0,32627.0,76.0,Personal Auto,Two-Door Car,380.036697
UG93476,California,,80023083.0,0.0,107.0,Personal Auto,SUV,513.6
AB96670,California,,23939154.0,0.0,70.0,Personal Auto,Four-Door Car,425.266308
XK64261,Oregon,,47628179.0,65795.0,62.0,Corporate Auto,Two-Door Car,49.011099
EV68375,California,,43303860.0,60475.0,107.0,Personal Auto,Four-Door Car,513.6
UN51653,California,,94027298.0,0.0,130.0,Personal Auto,SUV,936.0
TO96662,Oregon,,69666945.0,41837.0,88.0,Personal Auto,Four-Door Car,142.062768
MR52087,California,,76940643.0,32303.0,65.0,Personal Auto,Four-Door Car,45.152521
DE75225,Oregon,,87175611.0,0.0,117.0,Personal Auto,SUV,561.6
EP80820,California,,59287485.0,40531.0,74.0,Personal Auto,Two-Door Car,30.567357
GU99037,Oregon,,24529773.0,79898.0,62.0,Corporate Auto,Four-Door Car,271.606799
WI57118,California,,67015717.00000001,56398.0,85.0,Personal Auto,Four-Door Car,408.0
GP39118,Washington,M,49965527.0,71600.0,63.0,Personal Auto,Two-Door Car,46.158117
MQ14219,AZ,,84926988.0,27804.0,109.0,Personal Auto,SUV,784.8
KN20603,Oregon,,77134940.0,45506.0,66.0,Personal Auto,Four-Door Car,316.8
SG20925,Washington,F,51857976.0,99428.0,6464.0,Personal Auto,Four-Door Car,48.046869
JI70886,California,,72900698.0,0.0,102.0,Corporate Auto,SUV,489.6
VF72557,Oregon,,47729438.0,20993.0,133.0,Personal Auto,SUV,638.4
OX28638,AZ,,68064914.0,37839.0,86.0,Personal Auto,Two-Door Car,465.633954
SK55033,California,,24697813.0,92711.0,62.0,Personal Auto,Two-Door Car,368.400146
OO88645,California,,31039230.0,74665.0,78.0,Corporate Auto,Four-Door Car,236.902001
FM14335,Washington,F,104849154.0,61108.0,89.0,Personal Auto,Four-Door Car,49.451117
CW82151,California,,89027376.0,46833.0,112.0,Personal Auto,Sports Car,64.109663
DY22043,Oregon,,54994472.0,88768.0,68.0,Personal Auto,Two-Door Car,326.4
SH36774,California,,150235986.0,28262.0,192.0,Personal Auto,Luxury SUV,921.6
EM43724,Nevada,,25091079.0,33555.0,63.0,Personal Auto,Four-Door Car,101.89645
FH85960,Oregon,,312217481.0,42780.0,113.0,Personal Auto,Four-Door Car,542.4
XA55993,Oregon,,31335034.000000004,58850.0,78.0,Personal Auto,Four-Door Car,143.747794
GO36627,AZ,,38374519.0,21880.0,97.0,Special Auto,Four-Door Car,424.077159
QH48047,Oregon,,117904962.00000001,25251.0,66.0,Personal Auto,Four-Door Car,316.8
HS28694,Washington,F,28298639.0,25317.0,71.0,Personal Auto,Two-Door Car,50.422181
UH65059,AZ,,43058083.0,24188.0,109.0,Personal Auto,Sports Car,523.2
FV21968,Nevada,,59739768.99999999,41611.0,74.0,Special Auto,Four-Door Car,113.801497
QA87025,Oregon,,56704424.0,28406.0,72.0,Personal Auto,Four-Door Car,192.87572
TQ13499,AZ,,47317493.0,69833.0,118.0,Personal Auto,Four-Door Car,828.662719
BU44523,AZ,,80263796.0,0.0,74.0,Corporate Auto,Four-Door Car,532.8
MS41162,AZ,,40229635.0,0.0,117.0,Personal Auto,SUV,975.107098
PU25891,Oregon,,96183109.0,80536.0,119.0,Special Auto,Sports Car,53.798708
LH92841,Washington,F,72559538.0,88891.0,89.0,Personal Auto,Four-Door Car,50.528355
SX26335,Oregon,,95529269.0,97732.0,79.0,Personal Auto,Four-Door Car,289.9122
AZ95587,AZ,F,103885532.0,61222.0,89.0,Special Auto,Four-Door Car,392.604371
DS81757,Oregon,M,24701212.0,0.0,74.0,Personal Auto,Two-Door Car,721.242206
OJ94107,AZ,M,56190685.0,50335.0,140.0,Personal Auto,SUV,456.52385
LP84436,California,F,90471192.0,0.0,127.0,Personal Auto,Sports Car,1087.995426
FF22360,Washington,F,26873140.999999996,82210.0,68.0,Personal Auto,Four-Door Car,51.961915
LM19287,Oregon,F,37315046.0,0.0,96.0,Personal Auto,Four-Door Car,460.8
ZU18643,Nevada,M,36607703.0,64495.0,92.0,Corporate Auto,Four-Door Car,251.992083
AZ82578,California,F,79288293.0,0.0,72.0,Corporate Auto,Four-Door Car,345.6
XC67861,Arizona,F,50117516.0,28859.0,67.0,Corporate Auto,Two-Door Car,321.6
YC43143,Arizona,F,79882583.0,77330.0,99.0,Personal Auto,Four-Door Car,99.257608
EK59571,Oregon,M,38854564.0,0.0,105.0,Corporate Auto,Four-Door Car,504.0
PA38372,Washington,F,93577378.0,33060.0,117.0,Personal Auto,Four-Door Car,56.731578
RO18530,Washington,M,25406898.0,42557.0,65.0,Personal Auto,Four-Door Car,57.562324
PD27940,Arizona,M,48851625.0,26372.0,126.0,Personal Auto,SUV,604.8
BS77946,Arizona,F,97533071.0,17514.0,127.0,Personal Auto,SUV,8.312729
YM50253,California,Femal,29461537.0,89270.0,74.0,Personal Auto,Four-Door Car,316.599228
NR15332,California,M,25811109.0,29757.0,65.0,Personal Auto,Four-Door Car,312.0
RC62865,Oregon,M,35173858.0,51814.0,92.0,Personal Auto,Four-Door Car,56.300724
CC15295,Oregon,F,97433501.0,24028.0,82.0,Personal Auto,Four-Door Car,393.6
KA61892,Arizona,M,38736470.0,28142.0,105.0,Personal Auto,Sports Car,701.708239
OS94884,Arizona,F,76492820.0,52705.0,64.0,Personal Auto,Two-Door Car,128.705563
ND87334,California,M,22875969.0,0.0,63.0,Corporate Auto,Two-Door Car,679.368378
OY51402,Washington,F,82557639.0,54040.0,103.0,Personal Auto,SUV,59.987126
YL74911,California,F,87149221.0,0.0,118.0,Personal Auto,SUV,566.4
GK92563,Washington,F,68192312.0,22492.0,85.0,Personal Auto,Two-Door Car,61.654262
HL53154,California,M,74161973.0,0.0,77.0,Personal Auto,Four-Door Car,554.4
RI78966,Oregon,M,77711590.0,21876.0,68.0,Personal Auto,Four-Door Car,465.41477
IC13702,California,F,69683419.0,0.0,69.0,Personal Auto,Four-Door Car,496.8
BE10809,California,F,42502826.0,0.0,61.0,Personal Auto,Four-Door Car,292.8
HT87217,Oregon,F,197765665.0,70699.0,82.0,Personal Auto,Four-Door Car,256.813837
TH95618,California,F,213434660.0,0.0,74.0,Personal Auto,Four-Door Car,355.2
TS19868,California,M,24131397.0,27501.0,63.0,Personal Auto,Four-Door Car,542.319401
LP45550,Oregon,F,153638472.0,15897.0,101.0,Personal Auto,Four-Door Car,303.148399
QR87004,Nevada,F,84569619.0,25141.0,73.0,Personal Auto,Four-Door Car,25.438063
OE75747,Nevada,F,21896425.0,0.0,61.0,Personal Auto,Four-Door Car,292.8
DX91392,California,M,57801822.0,51066.0,74.0,Personal Auto,Four-Door Car,787.993313
AB72731,California,F,46399816.0,28358.0,117.0,Personal Auto,Sports Car,84.024413
GX84338,Washington,F,38244313.0,62530.0,95.0,Personal Auto,Four-Door Car,61.693771
IS12901,Arizona,F,59681189.0,90972.0,74.0,Personal Auto,Two-Door Car,232.926145
BN90616,Washington,F,85903350.0,63110.0,72.0,Personal Auto,Four-Door Car,68.179721
HH90090,California,F,40766347.0,29549.0,104.0,Personal Auto,Sports Car,710.433775
IU25463,California,F,122526018.0,0.0,115.0,Personal Auto,Four-Door Car,552.0
KC11055,Nevada,F,169362715.0,39411.0,217.0,Personal Auto,Luxury Car,1122.658899
PD33979,Oregon,M,48924355.0,21709.0,62.0,Personal Auto,Four-Door Car,408.374746
NK71023,Nevada,M,99423048.0,67890.0,85.0,Personal Auto,Four-Door Car,408.0
AB13432,California,M,37358381.0,0.0,110.0,Personal Auto,SUV,792.0
OZ97704,California,F,131175222.0,84311.0,111.0,Personal Auto,SUV,532.8
UF46533,California,F,45745241.0,99316.0,114.0,Corporate Auto,SUV,754.358929
XP47431,Arizona,F,54700606.00000001,54507.0,138.0,Personal Auto,SUV,702.990032
GK73582,California,F,29788459.999999996,64586.0,76.0,Personal Auto,Four-Door Car,206.837111
RV98763,Oregon,M,64109675.0,61709.0,82.0,Personal Auto,Four-Door Car,275.395894
II62831,California,M,44790231.0,94656.0,111.0,Special Auto,SUV,459.738128
XK33449,California,F,23837319.0,0.0,69.0,Special Auto,Two-Door Car,496.8
TR85083,California,M,27644937.0,61085.0,70.0,Personal Auto,Two-Door Car,336.0
EO95328,Oregon,F,79201054.0,89284.0,67.0,Personal Auto,Two-Door Car,321.6
EN21086,Arizona,F,68890980.0,0.0,63.0,Personal Auto,Four-Door Car,302.4
YL83902,WA,F,32741946.000000004,31686.0,81.0,Personal Auto,Four-Door Car,430.994107
AZ62651,Oregon,M,99517077.0,56855.0,255.0,Corporate Auto,Luxury SUV,1836.0
ZW25874,Oregon,M,25215557.0,53703.0,67.0,Special Auto,Four-Door Car,67.632476
EH41854,WA,F,237061134.0,0.0,96.0,Personal Auto,Two-Door Car,844.481918
MW70227,California,M,60470252.0,20396.0,76.0,Personal Auto,Four-Door Car,364.8
SL22297,California,F,111403025.0,27679.0,150.0,Personal Auto,SUV,722.486994
RV14138,Nevada,F,43340641.0,23904.0,123.0,Personal Auto,SUV,590.4
UO62808,Arizona,F,27997478.999999996,65351.0,69.0,Corporate Auto,Four-Door Car,481.027516
ZX64745,California,M,79231366.0,0.0,113.0,Personal Auto,SUV,1124.427734
FL34139,California,M,36881109.0,0.0,63.0,Personal Auto,Four-Door Car,669.682001
TS11219,California,M,120674560.00000001,0.0,116.0,Personal Auto,SUV,1284.093173
XX12304,California,F,29249767.0,64459.0,72.0,Personal Auto,Four-Door Car,240.259479
SD64087,California,M,150140927.0,32961.0,190.0,Corporate Auto,SUV,912.0
OY38576,Oregon,F,92772338.0,71416.0,116.0,Corporate Auto,SUV,556.8
BG76355,WA,F,62741239.0,68964.0,78.0,Personal Auto,Four-Door Car,115.086827
IP66913,Cali,M,38866474.0,78108.0,98.0,Personal Auto,Two-Door Car,470.4
LE95702,Cali,M,43862776.0,10621.0,67.0,Special Auto,Four-Door Car,321.6
KX54357,WA,M,113652677.0,84910.0,95.0,Corporate Auto,Two-Door Car,383.167471
EZ78112,Cali,Femal,56109643.00000001,77493.0,70.0,Special Auto,Four-Door Car,307.963291
XN16891,Arizona,M,29128920.0,81097.0,74.0,Personal Auto,Four-Door Car,355.2
XK31350,Oregon,Femal,69157299.0,96610.0,85.0,Corporate Auto,Four-Door Car,520.364752
CC30924,Oregon,M,62626632.99999999,30110.0,159.0,Corporate Auto,Sports Car,466.436375
IT78748,Oregon,Femal,65033969.99999999,22081.0,84.0,Special Auto,Two-Door Car,451.670309
KY33386,WA,Femal,80073994.0,0.0,112.0,Personal Auto,Sports Car,537.6
CO44221,Cali,M,29299165.000000004,98473.0,72.0,Personal Auto,Four-Door Car,345.6
LK60013,Oregon,Femal,59695530.00000001,97431.0,74.0,Personal Auto,Four-Door Car,355.2
DE21533,Cali,M,54731599.0,93870.0,69.0,Personal Auto,Four-Door Car,331.2
YS94121,Nevada,M,56453967.00000001,50366.0,72.0,Personal Auto,Four-Door Car,428.734656
UK68427,WA,M,63692624.0,34498.0,83.0,Personal Auto,Two-Door Car,398.4
TE49565,Oregon,Femal,118337673.0,16552.0,103.0,Personal Auto,SUV,494.4
RA88421,Oregon,Femal,61211079.0,26787.0,77.0,Personal Auto,Four-Door Car,369.6
KQ51983,Nevada,M,51593697.0,0.0,74.0,Personal Auto,Two-Door Car,831.752839
CD88896,Nevada,Femal,25145920.0,43860.0,65.0,Corporate Auto,Four-Door Car,156.124914
YV22553,Arizona,M,86686113.0,21474.0,114.0,Corporate Auto,SUV,373.428187
WU14435,Cali,M,49609654.0,18174.0,66.0,Corporate Auto,Four-Door Car,395.934815
XV84099,Arizona,Femal,55041390.0,0.0,73.0,Corporate Auto,Four-Door Car,350.4
RI24911,Arizona,Male,75074554.0,60920.0,64.0,Personal Auto,Two-Door Car,231.201886
KO26461,Arizona,Male,322698514.0,41520.0,90.0,Personal Auto,Four-Door Car,289.904105
HI14283,Oregon,Femal,56570316.0,0.0,152.0,Personal Auto,SUV,729.6
PT50227,Arizona,Male,50617579.0,0.0,68.0,Personal Auto,Two-Door Car,326.4
BH36570,Cali,Male,59127838.0,72208.0,73.0,Personal Auto,Two-Door Car,350.4
TX17484,Cali,Femal,151822798.0,53863.0,63.0,Personal Auto,Four-Door Car,105.765111
CT41158,WA,Male,107470309.00000001,66446.0,136.0,Corporate Auto,SUV,639.464548
AO87348,WA,Male,20506235.0,0.0,61.0,Personal Auto,Four-Door Car,292.8
DE55857,WA,Femal,24654449.0,64997.0,63.0,Personal Auto,Four-Door Car,383.442328
LF66923,Nevada,Femal,53431213.0,64460.0,66.0,Corporate Auto,Two-Door Car,316.8
CN24514,Arizona,Femal,81198291.0,46618.0,67.0,Personal Auto,Four-Door Car,99.085943
UW32074,Oregon,Femal,46052652.0,0.0,64.0,Corporate Auto,Four-Door Car,307.2
HP36979,Cali,Male,64087856.00000001,49988.0,84.0,Personal Auto,Two-Door Car,566.935022
PP40919,Cali,Femal,23765335.0,0.0,91.0,Personal Auto,Two-Door Car,436.8
RO73268,Cali,M,32110700.0,16269.0,86.0,Corporate Auto,Two-Door Car,412.8
HO61691,Arizona,F,50945223.0,72006.0,64.0,Personal Auto,Four-Door Car,307.2
BS13062,Arizona,F,257552781.99999997,0.0,81.0,Personal Auto,Four-Door Car,388.8
FO35655,Oregon,M,86722297.0,0.0,245.0,Corporate Auto,Luxury SUV,2345.413441
HR10526,Cali,M,80447307.0,44320.0,67.0,Personal Auto,Four-Door Car,321.6
IA63417,Arizona,F,40015191.0,19782.0,108.0,Personal Auto,Two-Door Car,773.470977
BH35016,Nevada,F,167061170.0,63933.0,70.0,Personal Auto,Two-Door Car,424.883448
PK52952,Arizona,M,85444111.0,28224.0,109.0,Personal Auto,SUV,523.2
OD76309,WA,F,78053129.0,21073.0,106.0,Personal Auto,SUV,508.8
IL28481,Oregon,M,61127568.99999999,63243.0,77.0,Personal Auto,Four-Door Car,364.240307
GY55092,Nevada,M,47729438.0,20993.0,133.0,Personal Auto,SUV,638.4
UF33451,Oregon,F,109790956.0,94827.0,135.0,Personal Auto,SUV,354.729129
CF15558,Cali,F,50042638.0,39161.0,63.0,Personal Auto,Two-Door Car,283.995953
JM62924,WA,M,132230437.99999999,37534.0,84.0,Personal Auto,Four-Door Car,403.2
EM66435,Oregon,F,26233153.999999996,80210.0,65.0,Corporate Auto,Four-Door Car,20.543176
QX45933,Cali,M,178401956.0,0.0,62.0,Personal Auto,Four-Door Car,385.115437
JI71369,Cali,F,51061118.0,30110.0,64.0,Personal Auto,Four-Door Car,140.165035
JU93290,Arizona,F,179306045.0,21708.0,68.0,Personal Auto,Four-Door Car,326.4
GU66096,Arizona,M,54573426.0,94731.0,67.0,Personal Auto,Four-Door Car,321.6
UC33108,Cali,M,65636441.0,32375.0,83.0,Personal Auto,Four-Door Car,398.4
LW93867,Oregon,M,48125252.0,16531.0,63.0,Corporate Auto,Four-Door Car,102.879769
OU78470,Arizona,F,293280419.0,32006.0,94.0,Corporate Auto,Four-Door Car,56.868289
XW90265,Arizona,F,57735206.99999999,81676.0,72.0,Personal Auto,Two-Door Car,463.158502
HS67749,Cali,M,68471189.0,71038.0,86.0,Corporate Auto,Four-Door Car,205.444066
VZ51506,Arizona,F,35953129.0,0.0,103.0,Corporate Auto,Sports Car,741.6
UI64281,Nevada,F,228556121.0,20832.0,65.0,Personal Auto,Two-Door Car,56.371967
AE98193,WA,M,78594146.0,0.0,113.0,Personal Auto,SUV,813.6
AZ74055,Oregon,M,41155774.0,52405.0,103.0,Personal Auto,Four-Door Car,494.4
XS76911,Arizona,F,50296388.0,0.0,133.0,Personal Auto,Sports Car,795.864079
AY40674,WA,F,48214185.0,26583.0,1005.0,Personal Auto,SUV,614.4
NA12740,Oregon,M,50043105.0,25486.0,65.0,Special Auto,Two-Door Car,72.438681
UA84837,Arizona,M,86300539.0,24065.0,111.0,Corporate Auto,Four-Door Car,532.8
DJ51510,Arizona,F,93220851.0,70435.0,116.0,Personal Auto,Four-Door Car,67.881546
VM58985,Cali,M,167275606.0,0.0,76.0,Personal Auto,Two-Door Car,402.636829
OH60605,Oregon,F,36525324.0,39679.0,92.0,Personal Auto,Two-Door Car,641.388616
UO98052,Nevada,M,61586012.0,0.0,89.0,Personal Auto,Four-Door Car,342.481173
NC53424,Cali,M,43760840.0,0.0,69.0,Personal Auto,Two-Door Car,331.2
LQ13873,Nevada,M,55694562.0,53565.0,71.0,Personal Auto,Four-Door Car,340.8
LA97014,WA,M,25765130.0,37574.0,66.0,Personal Auto,Two-Door Car,412.101933
NB79936,WA,M,83469832.0,48259.0,108.0,Personal Auto,Two-Door Car,73.700573
NT89061,Arizona,F,63239239.0,78532.0,78.0,Personal Auto,Four-Door Car,374.4
AF10970,Arizona,F,59731434.0,96163.0,73.0,Corporate Auto,Four-Door Car,350.4
ZG48513,Cali,M,47066770.0,0.0,72.0,Personal Auto,Four-Door Car,345.6
JQ59145,Cali,Male,80934103.0,0.0,114.0,Personal Auto,Sports Car,722.024742
FE84989,WA,Male,50357446.0,72672.0,63.0,Personal Auto,Four-Door Car,259.361117
JT52858,Oregon,F,90278672.0,99002.0,112.0,Personal Auto,Four-Door Car,537.6
MC62068,California,Male,72888848.0,79494.0,91.0,Personal Auto,Four-Door Car,396.295614
EU27538,Oregon,Male,180424794.0,35704.0,225.0,Personal Auto,Luxury Car,358.281562
RH42306,Arizona,F,49920630.0,0.0,71.0,Corporate Auto,Four-Door Car,653.388564
US23612,Oregon,F,91022678.0,26049.0,118.0,Personal Auto,Two-Door Car,121.032372
WV76014,Arizona,Male,25404077.0,70125.0,64.0,Special Auto,Four-Door Car,92.813396
RK96223,California,Male,129418919.0,52369.0,110.0,Personal Auto,SUV,528.0
MF82000,WA,female,23653486.0,0.0,66.0,Special Auto,Four-Door Car,159.636956
FM46980,Arizona,Male,57207651.0,41770.0,72.0,Personal Auto,Four-Door Car,476.156957
SY56792,Oregon,Male,70355341.0,0.0,101.0,Corporate Auto,Four-Door Car,727.2
RF61565,California,M,26369777.0,31911.0,67.0,Personal Auto,Four-Door Car,321.6
IM94808,Nevada,M,53958319.99999999,70051.0,68.0,Corporate Auto,Four-Door Car,42.078345
VI14730,Oregon,M,83826301.0,19683.0,117.0,Personal Auto,Sports Car,561.6
YR34119,WA,F,311617452.0,30916.0,112.0,Personal Auto,SUV,200.11606
RR77985,Oregon,F,28877423.0,0.0,80.0,Personal Auto,Four-Door Car,676.944023
QD28391,Washington,M,74258453.0,84302.0,62.0,Personal Auto,Four-Door Car,76.609295
WV17090,California,M,255857277.99999997,0.0,116.0,Corporate Auto,SUV,830.623064
TM23514,Oregon,M,102726082.0,60145.0,132.0,Personal Auto,SUV,580.473259
